id_transfer,liquidation_date,transfer_due_date,transfer_total_value,transfer_status,contract_id,bill_id,accrual,real_estate_agency_id,rental_value,damage_value,early_termination_value,early_termination_guarantee,damage_guarantee,transfer_parcel_cycle,transfer_real_rental_value,median_rental_value
1618098,2024-06-10,2024-06-10,725.05,liquidated,226,2612500.0,2024-06-05,93,689.0,0.0,0.0,1,true,1,725.05,725.05
1571584,2024-07-10,2024-07-10,725.05,liquidated,226,2606065.0,2024-07-05,93,689.0,0.0,0.0,1,true,1,725.05,725.05
1571592,2024-08-09,2024-08-09,725.05,liquidated,226,2606066.0,2024-08-05,93,689.0,0.0,0.0,1,true,1,725.05,725.05
1571600,2024-09-10,2024-09-10,725.05,liquidated,226,2606067.0,2024-09-05,93,689.0,0.0,0.0,1,true,1,725.05,725.05
1571607,2024-10-11,2024-10-11,725.05,liquidated,226,2606218.0,2024-10-07,93,689.0,0.0,0.0,1,true,1,725.05,725.05
1571616,2024-11-08,2024-11-08,725.05,liquidated,226,2606223.0,2024-11-05,93,689.0,0.0,0.0,1,true,1,725.05,725.05
1571624,2024-12-10,2024-12-10,707.05,liquidated,226,2606225.0,2024-12-05,93,689.0,0.0,0.0,1,true,1,707.05,725.05
1571632,2025-01-10,2025-01-10,725.05,liquidated,226,2606230.0,2025-01-06,93,689.0,0.0,0.0,1,true,1,725.05,725.05
1606124,2024-02-19,2024-02-16,856.18,liquidated,284,2559015.0,2024-02-14,93,803.93,0.0,0.0,1,true,1,856.18,830.25
1606130,2024-03-15,2024-03-15,830.25,liquidated,284,2559016.0,2024-03-11,93,778.0,0.0,0.0,1,true,1,830.25,830.25
1606136,2024-04-15,2024-04-15,830.25,liquidated,284,2559017.0,2024-04-10,93,778.0,0.0,0.0,1,true,1,830.25,830.25
1606145,2024-05-15,2024-05-15,830.25,liquidated,284,2559519.0,2024-05-10,93,778.0,0.0,0.0,1,true,1,830.25,830.25
1606154,2024-06-14,2024-06-14,830.25,liquidated,284,2559522.0,2024-06-10,93,778.0,0.0,0.0,1,true,1,830.25,830.25
1567921,2024-07-15,2024-07-15,830.25,liquidated,284,2601723.0,2024-07-10,93,778.0,0.0,0.0,1,true,1,830.25,830.25
1567928,2024-08-16,2024-08-16,830.25,liquidated,284,2601725.0,2024-08-12,93,778.0,0.0,0.0,1,true,1,830.25,830.25
1536673,2024-08-30,2024-08-30,996.87,liquidated,284,2712908.0,2024-08-27,93,0.0,0.0,933.6,1,true,1,63.26999999999998,830.25
1536687,2024-12-16,2024-12-16,173.75,liquidated,284,2712913.0,2024-08-27,93,0.0,0.0,173.75,1,true,1,0.0,830.25
1508643,2024-08-19,2024-08-19,1073.27,liquidated,358,2687337.0,2024-08-14,93,1000.0,0.0,0.0,1,true,1,1073.27,1073.27
1510333,2024-09-18,2024-09-18,1073.27,liquidated,358,2689153.0,2024-09-13,93,1000.0,0.0,0.0,1,true,1,1073.27,1073.27
1510336,2024-10-18,2024-10-18,1073.27,liquidated,358,2689158.0,2024-10-14,93,1000.0,0.0,0.0,1,true,1,1073.27,1073.27
1510345,2024-11-18,2024-11-18,1073.27,liquidated,358,2689163.0,2024-11-13,93,1000.0,0.0,0.0,1,true,1,1073.27,1073.27
1510353,2024-12-18,2024-12-18,1023.53,liquidated,358,2689168.0,2024-12-13,93,1000.0,0.0,0.0,1,true,1,1023.53,1073.27
1508854,2024-08-20,2024-08-20,1251.95,liquidated,367,2687568.0,2024-08-15,93,900.0,0.0,0.0,1,true,1,1251.95,1248.86
1574443,2024-09-20,2024-09-20,1171.95,liquidated,367,2526339.0,2024-09-16,93,820.0,0.0,0.0,1,true,1,1171.95,1248.86
1508947,2024-10-18,2024-10-18,1251.95,liquidated,367,2687619.0,2024-10-15,93,900.0,0.0,0.0,1,true,1,1251.95,1248.86
1508954,2024-11-22,2024-11-22,1248.86,liquidated,367,2687818.0,2024-11-18,93,900.0,0.0,0.0,1,true,1,1248.86,1248.86
